ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
LU1547515137,1.86,5.44,-0.319,-4.4,,,2.29,,
LU1525418726,2.47,3.29,-0.342,-2.62,,,1.14,1.2,
IE00023EZQ82,-4.42,22.22,-0.361,-19.15,,,13.86,,
IE000NM0ALX6,-3.32,19.12,-0.362,-14.79,,,6.04,,
IE00018U4PN8,1.63,5.36,-0.365,-3.03,,,0.28,,
IE000C5Q64P6,2.67,2.54,-0.365,-1.48,0.091,-1.656,0.68,,
IE00066L6LB9,1.64,5.33,-0.366,-3.03,,,0.29,,
IE0000UJ3480,1.48,5.5,-0.385,-3.27,,,-0.51,0.66,
IE000O2G7VL0,1.7,4.92,-0.385,-3.4,,,1.1,,
IE000P0AMD16,1.47,5.44,-0.39,-3.3,,,-0.57,,
LU2099296274,1.16,6.15,-0.395,-3.13,,,0.94,,
LU1435356495,1.62,4.54,-0.434,-2.61,,,1.41,,
LU1861138961,-7.68,25.93,-0.435,-17.83,,,7.28,,
IE000A0RC215,2.84,1.71,-0.438,-0.87,0.043,-1.096,0.72,,
IE00BKLC5874,1.77,4.11,-0.444,-3.04,,,1.04,0.84,
LU2346257210,1.6,4.43,-0.45,-3.28,,,0.98,,
IE00BKVL7331,-0.24,8.4,-0.456,-6.14,,,1.89,-0.29,
IE00041H4WT9,-7.94,25.21,-0.458,-15.47,1.052,-22.044,-2.19,,
IE000IF0HTJ9,0.06,7.66,-0.461,-5.66,0.333,-6.213,1.16,,
LU2914558916,-4.77,17.94,-0.466,-16.06,,,5.99,,
LU1812090543,1.65,4.16,-0.468,-3.16,0.239,-4.309,1.19,0.78,
LU1681043912,-5.76,19.98,-0.468,-14.79,,,3.27,-3.77,
IE000FG3UNB8,0.94,5.34,-0.497,-3.78,,,1.82,,
LU2533810276,-3.47,13.96,-0.506,-9.51,,,-3.52,-2.18,
IE000Y247W99,2.47,2.23,-0.506,-1.48,,,0.81,1.22,
IE000VVC8KW9,0.48,6.03,-0.516,-3.84,,,2.0,,
IE000GB2EQ90,2.04,2.94,-0.527,-1.92,0.108,-2.418,0.71,,
IE000M02BVY5,1.06,4.49,-0.563,-3.58,,,1.47,,
IE0004HMINW0,1.1,4.33,-0.577,-3.13,,,0.38,,
IE0003ZXNJY5,-6.99,17.94,-0.59,-16.25,,,-2.54,,
LU1681047079,-6.44,16.75,-0.599,-12.9,,,4.95,-3.81,
LU2109787551,-12.0,25.86,-0.603,-17.65,,,7.03,,
LU1681046931,-6.57,16.69,-0.609,-12.87,,,4.76,-3.87,
LU1681044050,-9.97,21.58,-0.629,-15.63,0.966,-23.148,4.49,,
FR0010150458,-7.05,16.83,-0.632,-12.49,,,4.37,-4.11,
LU1806495575,0.7,4.55,-0.635,-2.66,,,1.03,0.3,
LU1681040496,0.99,4.03,-0.645,-3.17,,,1.34,0.45,
LU2244386053,0.95,4.02,-0.659,-3.15,,,1.17,0.43,
IE000WYX67F4,1.41,3.26,-0.669,-2.48,,,0.92,0.68,
IE0003HV7CS6,1.45,3.14,-0.682,-2.2,,,1.01,,
LU1215415214,0.7,4.24,-0.682,-3.27,,,1.22,0.3,
IE000U6US1Q0,0.16,4.89,-0.703,-3.82,,,1.09,0.02,
IE000RLUE8E9,-7.18,15.24,-0.707,-16.45,0.98,-18.653,11.18,,
IE000Y9XFN19,0.06,4.84,-0.731,-3.3,,,0.77,-0.03,
LU3046359165,1.89,2.28,-0.745,-1.68,,,0.81,0.93,
IE000XFCOS45,1.94,2.2,-0.75,-1.7,,,0.88,0.96,
LU1285959885,0.08,4.65,-0.755,-2.89,0.187,-5.36,1.0,-0.01,
IE00BKKKWJ26,0.3,4.24,-0.775,-2.99,,,1.01,0.11,
LU1285959703,0.08,4.52,-0.778,-2.83,0.187,-5.359,1.13,-0.01,
IE0009XKZC98,1.95,2.11,-0.779,-1.68,,,0.88,0.96,
IE0006FM6MI8,-6.8,13.28,-0.782,-11.47,,,-2.03,,
LU1563454401,-1.08,5.98,-0.782,-3.34,,,0.74,,
IE0000MK7GG1,0.04,4.52,-0.786,-3.45,,,0.3,,
IE000RJL5A30,0.31,4.16,-0.789,-2.93,,,1.06,0.11,
LU2345046655,-27.06,38.81,-0.79,-26.17,0.796,-40.014,7.58,,
IE0008BU0XC3,-2.89,8.16,-0.795,-5.74,,,-0.4,,
IE000N0TTJQ9,-0.92,5.63,-0.801,-3.21,,,-0.29,,
IE000NHAIBN0,1.02,3.21,-0.803,-2.58,,,0.99,,
LU1681041031,2.18,1.74,-0.816,-0.57,,,0.3,1.08,
IE00BK4W7N32,0.07,4.25,-0.831,-2.91,,,1.28,-0.01,
IE000WMJVNE9,-1.06,5.55,-0.838,-3.18,,,-0.33,,
LU2742533552,-3.36,8.19,-0.85,-5.5,,,-0.51,,
FR001400SDQ1,-1.44,5.92,-0.851,-3.23,,,-0.28,-0.8,
LU2616776444,-0.47,4.75,-0.854,-2.78,,,0.92,-0.29,
IE0004MXQ328,-0.07,4.24,-0.863,-3.22,,,1.04,,
LU2616774076,-0.34,4.55,-0.865,-2.76,,,0.99,,
IE00BP2C0316,-16.89,23.48,-0.872,-15.84,0.811,-30.019,5.72,,
IE000HQY8R78,1.54,2.31,-0.888,-1.45,,,0.69,,
IE00016PSX47,-17.87,23.41,-0.917,-18.0,,,7.37,,
IE00BF51K025,0.08,3.69,-0.951,-2.45,,,1.3,,
IE00032L0R44,-1.06,4.81,-0.966,-3.34,,,1.06,-0.58,
LU1859444769,-0.49,4.21,-0.968,-2.93,,,0.67,-0.28,
LU1681041114,2.19,1.42,-0.984,-0.48,,,0.14,1.09,
IE0006B9CPY7,-2.37,5.9,-1.01,-5.5,0.245,-7.93,1.47,,
IE000R7KKFN3,0.83,2.71,-1.018,-2.59,,,1.08,,
LU2823895847,-0.9,4.36,-1.031,-3.36,,,0.81,,
LU2742532828,-1.8,5.16,-1.045,-3.88,,,0.7,,
IE000O1FWAW6,-1.8,5.15,-1.046,-4.08,,,1.01,,
LU2533811910,1.79,1.72,-1.051,-0.3,,,0.16,,
IE000RN58M26,-18.98,21.43,-1.053,-21.02,,,8.62,,
LU2742532745,-1.8,5.1,-1.058,-3.88,,,0.7,,
LU1285960032,-2.12,5.28,-1.083,-3.36,,,0.76,-1.12,
IE000I660ZF8,-1.29,4.5,-1.085,-3.33,,,0.65,,
IE000UY6XF65,-1.93,5.09,-1.087,-3.84,,,0.75,,
LU2993394241,-0.37,3.64,-1.088,-2.74,,,0.73,,
LU2870273385,-1.78,4.94,-1.089,-4.15,,,0.24,,
LU3000546336,-1.84,4.94,-1.1,-3.31,,,0.81,-0.97,
LU3086262709,-2.19,5.23,-1.106,-4.06,,,0.25,,
IE00BF51K249,-0.34,3.54,-1.112,-2.71,,,0.65,,
IE000BUIVY49,-0.35,3.54,-1.113,-2.77,,,0.47,,
IE000ZBGZQM8,-1.6,4.63,-1.122,-3.54,,,0.9,,
