ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU0340285161,11.72,8.24,6.27,25.54,13.87,-21.28,-1.38,-2.3,6.0515,0.586,0.636,0.551,1.126,1.937,,,,,,42.5
IE000AGFZM58,11.47,5.66,6.08,15.1,13.49,-17.87,-1.23,-1.89,3.6223,0.584,0.801,0.642,1.112,3.167,,,,,,46.4
LU0832436512,10.93,-2.43,9.75,11.93,12.58,-13.73,-1.22,-1.71,4.1567,0.583,0.873,0.796,1.103,2.63,,,,,,51.9
FR0010315770,11.95,7.62,4.1,22.02,14.32,-21.61,-1.43,-2.23,6.0185,0.583,0.738,0.553,1.109,1.985,,,,,,56.4
FR0010756114,11.94,7.96,4.03,22.39,14.39,-22.13,-1.42,-2.23,6.2206,0.58,0.736,0.539,1.108,1.919,,,,,,55.3
LU1681045537,12.15,8.41,3.7,23.33,14.83,-22.87,-1.51,-2.32,6.5008,0.577,0.718,0.531,1.11,1.869,,,,,,53.9
LU1681043599,11.67,7.41,3.87,21.52,14.17,-21.66,-1.4,-2.19,6.1027,0.57,0.724,0.539,1.106,1.912,,,,,,56.3
IE00BYXVGX24,11.85,8.89,4.72,27.96,14.67,-19.41,-1.53,-2.19,6.1331,0.563,0.76,0.611,1.104,1.932,,,,,,52.0
FR0010790980,11.28,3.67,5.88,14.71,13.7,-17.13,-1.32,-2.05,3.9377,0.561,0.737,0.658,1.103,2.864,,,,,,55.0
LU1169821292,10.9,0.86,6.52,20.27,13.02,-13.27,-1.24,-1.94,3.3349,0.561,0.73,0.822,1.104,3.269,,,,,,53.5
LU1048316647,7.24,0.51,-0.88,5.41,6.52,-5.25,-0.57,-0.9,1.7298,0.56,0.783,1.38,1.107,4.186,,,,,,48.7
IE00030Y2P41,11.48,5.17,1.63,12.15,14.15,-19.22,-1.07,-1.9,5.2877,0.557,0.782,0.597,1.122,2.17,,,,,,54.9
IE00BKPSFC54,11.19,8.08,9.87,26.8,13.65,-21.23,-1.39,-1.93,5.5131,0.556,0.794,0.527,1.1,2.029,,,,,,52.7
LU1291104575,12.08,9.56,5.42,28.77,15.28,-21.66,-1.33,-2.47,7.1251,0.556,0.53,0.558,1.143,1.696,,,,,,30.0
IE00BF2B0P08,11.55,11.33,5.15,32.15,14.44,-19.23,-1.43,-2.13,5.8501,0.551,0.756,0.601,1.102,1.975,,,,,,53.2
LU2158769930,7.27,3.23,3.05,11.6,6.69,-8.9,-0.68,-0.88,3.1653,0.55,0.878,0.817,1.098,2.297,,,,,,53.8
IE00BYXVGY31,11.68,8.96,4.76,28.09,14.83,-19.37,-1.49,-2.2,6.1629,0.545,0.748,0.603,1.1,1.895,,,,,,51.5
LU1829220216,11.17,7.96,5.13,23.5,13.99,-21.26,-1.42,-2.14,6.1964,0.542,0.7,0.526,1.1,1.803,,,,,,55.5
IE0009BM62P2,8.64,3.4,4.47,12.82,9.34,-15.74,-0.81,-1.47,4.6697,0.54,0.628,0.549,1.108,1.849,,,,,,54.1
IE00BKY40J65,11.86,11.69,6.44,31.64,15.31,-24.42,-1.59,-2.29,8.6882,0.54,0.718,0.486,1.1,1.365,,,,,,54.9
IE00B8GKDB10,10.97,4.36,11.48,28.67,13.72,-20.89,-1.34,-2.05,5.8876,0.538,0.715,0.525,1.098,1.864,,,,,,54.3
IE000XG0ZRI7,5.92,2.34,0.65,4.65,4.34,-4.31,-0.41,-0.6,0.8715,0.536,0.775,1.372,1.102,6.79,,,,,,54.2
IE00BGHQ0G80,11.28,8.86,4.92,27.1,14.32,-22.15,-1.4,-2.23,6.7706,0.536,0.678,0.509,1.1,1.665,,,,,,54.8
LU2616774076,6.93,0.62,-0.98,5.35,6.24,-5.09,-0.54,-0.84,1.742,0.535,0.819,1.362,1.096,3.977,,,,,,52.7
LU1615090864,11.3,5.8,11.13,22.82,14.41,-25.14,-1.48,-2.21,7.4182,0.534,0.654,0.449,1.103,1.523,,,,,,50.7
IE00BK5BR626,10.96,4.34,11.51,28.96,13.79,-21.08,-1.38,-2.08,5.9927,0.534,0.708,0.52,1.097,1.829,,,,,,53.7
