ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE0032077012,16.35,14.58,7.77,37.78,19.95,-31.11,-2.02,-2.91,11.6319,0.64,0.881,0.526,1.117,1.406,,,,,,55.6
IE00BKS7L097,13.91,11.77,4.84,30.4,16.17,-23.93,-1.69,-2.4,8.2288,0.638,0.854,0.581,1.119,1.691,,,,,,55.4
DE0002635299,12.82,6.01,16.02,32.99,14.57,-22.98,-1.47,-2.26,7.6639,0.633,0.81,0.558,1.115,1.673,,,,,,56.7
FR0013412285,13.23,9.65,3.96,25.76,15.24,-23.69,-1.55,-2.37,6.5376,0.632,0.815,0.558,1.118,2.023,,,,,,55.3
LU0292095535,12.36,3.55,10.17,20.53,14.04,-23.14,-1.39,-2.13,6.2929,0.624,0.8,0.534,1.116,1.964,,,,,,55.5
IE000929U2U9,5.41,2.25,0.27,4.72,2.93,-3.33,-0.27,-0.38,0.7498,0.621,0.903,1.626,1.118,7.218,,,,,,55.4
IE00BDF16007,13.01,3.27,14.51,32.07,15.62,-14.49,-1.36,-2.21,4.9274,0.603,0.736,0.898,1.126,2.64,,,,,,55.7
LU0292096186,10.87,2.42,13.87,30.03,12.07,-15.09,-1.17,-1.89,4.7371,0.603,0.763,0.72,1.109,2.295,,,,,,55.9
LU1681038326,16.05,17.06,4.77,40.46,20.87,-35.13,-2.13,-2.97,13.6552,0.597,0.854,0.457,1.107,1.175,,,,,,55.9
IE00BJ5JNY98,17.69,20.25,0.93,38.71,23.66,-39.08,-2.31,-3.26,14.3101,0.596,0.881,0.453,1.107,1.236,,,,,,55.4
FR0010315770,11.95,7.62,4.1,22.02,14.32,-21.61,-1.43,-2.23,6.0185,0.583,0.738,0.553,1.109,1.985,,,,,,56.4
FR0010756114,11.94,7.96,4.03,22.39,14.39,-22.13,-1.42,-2.23,6.2206,0.58,0.736,0.539,1.108,1.919,,,,,,55.3
IE000COQKPO9,16.03,17.95,3.77,42.57,21.71,-34.87,-2.23,-3.07,14.1448,0.573,0.819,0.46,1.102,1.133,,,,,,55.3
