ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1806495575,0.7,1.03,0.3,,4.55,-2.66,-0.53,-0.69,0.9989,-0.635,-0.768,0.265,0.879,0.705,,,,,,33.6
IE000HDPAH09,0.33,0.53,,,5.11,-3.83,-0.51,-0.61,1.6521,-0.639,-1.051,0.086,0.896,0.2,,,,,,60.0
LU1681040496,0.99,1.34,0.45,,4.03,-3.17,-0.39,-0.46,1.0056,-0.645,-1.106,0.313,0.883,0.988,,,,,,48.0
LU2244386053,0.95,1.17,0.43,,4.02,-3.15,-0.39,-0.47,1.0043,-0.659,-1.12,0.3,0.887,0.942,,,,,,44.0
LU1852211215,1.53,0.64,,,3.12,-1.41,-0.32,-0.4,0.5237,-0.662,-1.049,1.084,0.898,2.924,,,,,,56.6
IE000WYX67F4,1.41,0.92,0.68,,3.26,-2.48,-0.35,-0.44,0.8061,-0.669,-0.931,0.569,0.876,1.752,,,,,,53.6
IE0003HV7CS6,1.45,1.01,,,3.14,-2.2,-0.33,-0.45,0.7479,-0.682,-0.977,0.661,0.886,1.944,,,,,,55.3
LU1215415214,0.7,1.22,0.3,,4.24,-3.27,-0.37,-0.49,1.0473,-0.682,-1.187,0.214,0.884,0.669,,,,,,47.2
IE000U6US1Q0,0.16,1.09,0.02,,4.89,-3.82,-0.46,-0.74,1.4815,-0.703,-0.874,0.041,0.867,0.106,,,,,,30.4
IE0006MM8VN6,-0.41,1.31,,,5.69,-4.62,-0.64,-0.77,1.7126,-0.704,-1.109,-0.09,0.882,-0.242,,,,,,45.2
IE000Y9XFN19,0.06,0.77,-0.03,,4.84,-3.3,-0.54,-0.64,1.2225,-0.731,-1.119,0.017,0.885,0.046,,,,,,48.0
IE00BF59RV63,0.32,0.89,,,4.45,-2.99,-0.49,-0.65,1.1,-0.734,-0.977,0.109,0.882,0.295,,,,,,50.8
IE000HDEYKM3,1.24,1.22,,,3.17,-2.99,-0.32,-0.43,0.9795,-0.743,-1.076,0.415,0.872,1.267,,,,,,50.4
LU3046359165,1.89,0.81,0.93,,2.28,-1.68,-0.26,-0.31,0.5475,-0.745,-1.046,1.126,0.862,3.46,,,,,,54.4
IE000XFCOS45,1.94,0.88,0.96,,2.2,-1.7,-0.24,-0.29,0.5488,-0.75,-1.067,1.143,0.859,3.538,,,,,,54.4
LU1285959885,0.08,1.0,-0.01,,4.65,-2.89,-0.49,-0.64,1.0625,-0.755,-1.083,0.028,0.88,0.077,,,,,,53.6
IE00BLF7VX27,-0.18,0.94,,,4.88,-2.89,-0.53,-0.69,1.1141,-0.774,-1.101,-0.063,0.88,-0.163,,,,,,50.0
IE00BKKKWJ26,0.3,1.01,0.11,,4.24,-2.99,-0.49,-0.62,1.1122,-0.775,-1.018,0.101,0.871,0.272,,,,,,42.4
LU1285959703,0.08,1.13,-0.01,,4.52,-2.83,-0.45,-0.61,1.0568,-0.778,-1.138,0.028,0.88,0.074,,,,,,52.0
IE0009XKZC98,1.95,0.88,0.96,,2.11,-1.68,-0.23,-0.29,0.5394,-0.779,-1.048,1.164,0.852,3.621,,,,,,52.0
LU1563454401,-1.08,0.74,,,5.98,-3.34,-0.43,-0.87,1.6332,-0.782,-0.638,-0.324,0.783,-0.663,,,,,,22.8
LU3119430224,0.06,0.67,,,4.51,-3.13,-0.54,-0.6,1.3662,-0.784,-1.128,0.018,0.864,0.042,,,,,,52.3
IE0000MK7GG1,0.04,0.3,,,4.52,-3.45,-0.54,-0.58,1.479,-0.786,-1.173,0.012,0.87,0.029,,,,,,50.6
IE000RJL5A30,0.31,1.06,0.11,,4.16,-2.93,-0.45,-0.55,1.0537,-0.789,-1.205,0.107,0.88,0.296,,,,,,50.4
IE0008BU0XC3,-2.89,-0.4,,,8.16,-5.74,-0.94,-1.17,2.388,-0.795,-1.124,-0.504,0.87,-1.211,,,,,,51.2
IE000N0TTJQ9,-0.92,-0.29,,,5.63,-3.21,-0.63,-0.74,1.3286,-0.801,-1.238,-0.285,0.876,-0.689,,,,,,52.8
IE000NHAIBN0,1.02,0.99,,,3.21,-2.58,-0.29,-0.4,0.8806,-0.803,-1.26,0.396,0.867,1.158,,,,,,54.5
LU0879399441,-1.21,-0.7,,,5.94,-2.17,-0.63,-0.78,1.131,-0.808,-1.274,-0.557,0.876,-1.066,,,,,,48.4
LU1681041031,2.18,0.3,1.08,,1.74,-0.57,-0.16,-0.25,0.1508,-0.816,-1.048,3.819,0.858,14.432,,,,,,51.2
