ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
IE0006B9CPY7,-2.37,5.9,-1.01,-5.5,,,1.47,,
IE000R7KKFN3,0.83,2.71,-1.018,-2.59,,,1.08,,
LU2809864452,-1.05,4.51,-1.03,-3.29,,,0.68,,
LU2823895847,-0.9,4.36,-1.031,-3.36,,,0.81,,
LU1805389258,-0.26,3.7,-1.041,-2.95,,,0.7,,
LU2742532828,-1.8,5.16,-1.045,-3.88,,,0.7,,
IE000O1FWAW6,-1.8,5.15,-1.046,-4.08,,,1.01,,
LU2533811910,1.79,1.72,-1.051,-0.3,,,0.16,,
IE00BLDGH553,-1.13,4.41,-1.072,-3.48,,,0.14,,
LU1285960032,-2.12,5.28,-1.083,-3.36,,,0.76,-1.12,
IE000I660ZF8,-1.29,4.5,-1.085,-3.33,,,0.65,,
IE000UY6XF65,-1.93,5.09,-1.087,-3.84,,,0.75,,
LU2870273385,-1.78,4.94,-1.089,-4.15,,,0.24,,
IE00BHZRR253,-0.75,3.98,-1.09,-2.62,,,0.27,,
IE00BYZTVT56,-0.25,3.48,-1.105,-2.72,,,0.79,-0.15,
LU3086262709,-2.19,5.23,-1.106,-4.06,,,0.25,,
LU0484968812,-0.35,3.55,-1.109,-2.65,,,0.71,,
LU3119987140,-1.17,4.29,-1.111,-2.64,,,0.7,,
IE00BF51K249,-0.34,3.54,-1.112,-2.71,,,0.65,,
LU2356220926,-3.47,6.36,-1.112,-4.79,,,-0.12,,
LU2099991536,-1.06,4.18,-1.112,-2.15,,,-0.07,,
IE000BUIVY49,-0.35,3.54,-1.113,-2.77,,,0.47,,
NL0009690247,-1.74,4.78,-1.115,-3.26,,,0.69,,
IE000ZBGZQM8,-1.6,4.63,-1.122,-3.54,,,0.9,,
LU2408467723,2.28,1.16,-1.124,-1.17,,,0.67,,
LU2673523481,-0.95,4.04,-1.125,-3.03,,,0.73,,
